Deadline,Scholarship Name,Award amount,Education Level,Link,Open date,Eligibility
April 1,Teens for Alzheimer’s Awareness College Scholarship Essay Contest,"Up to $5,000",High school,https://alzfdn.org/scholarship/,November 1,"Currently be a high school senior
Currently reside in the US as a citizen
Must attend an accredited college/university in the US immediately following high school graduation in 2026 (no gap year/semester)"
April 1,JMJ Phillip Group College Scholarship,"$1,000","High school, Undergraduate, Graduate",https://jmjphillip.com/jmj-phillip-stem-scholarship/,,"High school students who have been accepted to college and students who are currently enrolled in a college or university are eligible to apply for the JMJ Phillip Group college scholarship program. 
Students must be currently enrolled in a U.S.-based high school or college. Students graduating from high school must plan to attend college during the fall semester in the same year as the application.
Eligible colleges include two-year and four-year universities in the United States.
Students who apply must have a minimum GPA of 3.6. Current (unofficial) transcripts must be sent with the application."
April 1,Davis-Putter Scholarship Fund,"Up to $15,000","Undergraduate, Graduate",https://www.davisputter.org/apply,January 1,"Need-based scholarships are awarded to students who are enrolled at a college or university or in a trade,community college, college, or university who are actively working toward liberation, justice and social change in their communities. Davis-Putter scholars are both undergraduate and graduate students."
April 1,Project Yellow Light Scholarship - Video,"$8,000",High school,https://projectyellowlight.com/,,High school junior or senior between the ages of 14 and 20; or a full-time undergraduate college student between the ages of 15 and 25
April 1,Project Yellow Light Scholarship - Radio,"$2,000",High school,https://projectyellowlight.com/,,High school junior or senior between the ages of 14 and 20; or a full-time undergraduate college student between the ages of 15 and 25
April 1,Wergle Flomp Humor Poetry Contest,"$100-$2,000","K-8, High school, Undergraduate, Graduate",https://winningwriters.com/our-contests/wergle-flomp-humor-poetry-contest-free,August 15,"Poets of all ages may enter. Authors from all countries except Syria, Iran, North Korea, Crimea, Russia, and Belarus are eligible"
April 1,Women in International Trade (WIIT) Young Leadership Scholarship Award,"$1,500","Undergraduate, Graduate",https://www.wiit.org/content.asp?contentid=162,,"Applicants must identify as female and be currently enrolled at an accredited U.S. university or college, either full-time or part-time. 
Applicants must be undergraduate Juniors or Seniors, or enrolled in graduate studies.
Women studying all aspects of International Trade, including trade policy and negotiations, global business and supply chains, economic development, and more."
April 1,HBCU Bound Scholarship,"$1,000",High school,https://thehbcualum.com/blogs/news/2026-scholarship-application,,Graduating Seniors planning to enroll in an Historically Black College or University (HBCU) in the Fall of 2026 with a cumulative GPA of 3.0 or higher
April 1,American Meteorological Society (AMS) Scholarship,"$2,000-$10,000",Undergraduate,https://www.ametsoc.org/index.cfm/ams/information-for/students/ams-scholarships-and-fellowships/ams-senior-named-scholarships/,,"Applicants must be entering their final year of undergraduate study and provide evidence of acceptance as a full-time student at an accredited U.S. institution at the time of the award. 
Applicants must be pursuing a degree in the atmospheric or related sciences. 
Applicants must have a minimum grade point average of 3.0 on a 4.0-point scale.
Applicants must be U.S. citizens or hold permanent resident status.  No age restriction exists."
April 2,Stephen Phillips Memorial Scholarship,"$6,000-$10,000",High school,https://phillips-scholarship.org/apply/new-applicants/,January 1,"An entering or returning student at an accredited undergraduate institution in the United States and must be enrolled full-time (at least 12 hours).
Pursuing a bachelor’s degree (BA, BS, BFA, BSN for example) for the first time. Students in one-year or two-year certificate or associate’s degree programs do not qualify. Students in five-plus year programs ending in a master’s degree or beyond may apply for the first four (undergraduate) years of their programs.
A United States citizen OR noncitizen who EITHER a) has a current lawful presence in the United States and employment authorization OR b) files (or is the dependent of a parent who files) a US income tax return.
A permanent resident of a New England state: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island or Vermont."
April 5,ICC Scholarship Essay Contest,$250,High school,https://internationalcollegecounselors.com/international-college-counselors-scholarship-essay-contest/,,"All high school freshmen, sophomores, or juniors can participate. Students from public and private schools, homeschool, and international students are eligible."
April 6,Surety Bond Authority Scholarship Program,"$1,500","High school, Undergraduate",https://suretybondauthority.com/surety-bond-authority-scholarship-2026/,,"Must be a high school or college undergraduate student.
Preference is given to students pursuing Accounting, Banking, Finance, or related business fields."
April 7,BMO Capital Markets Equity Through Education Scholarship,"$10,000","Undergraduate, Graduate",https://limeconnect.com/awards/bmo_capital/,,"A current undergraduate or graduate student at a four-year university in the United States or Canada
Pursuing a degree in business/commerce, computer science, engineering, math, physics, statistics, or a related discipline
Interested in a career in Financial Services with a focus on Capital Markets preferred
A person with a (visible or non-visible) disability (defined as someone who has, or considers themselves to have, a long-term or recurring, issue that impacts one or more major activities that others may consider to be a daily function); this definition also includes the perception among others that a disability exists. We know that 90% of disabilities on campus are invisible, and candidates with all disabilities are encouraged to apply"
April 10,Boomer Esiason Foundation Academic Scholarship,"$3,000-$10,000","Undergraduate, Graduate",https://www.esiason.org/assistance/scholarships/bef-academic-scholarship/,,"Have a confirmed diagnosis of cystic fibrosis
Be a US citizen or legal permanent resident of the US
Be enrolled in or accepted to an undergraduate or graduate program
Demonstrate academic achievement, strong character, leadership, community service, and financial need"
April 10,Foundation of Flexographic Technical Association (FFTA) Scholarship,"$3,000","High school, Undergraduate",https://www.flexography.org/honors-awards/scholarships/ffta-scholarship/,,"College juniors, College sophomores (at a two- or four-year college), College freshman (at a two- or four-year college), High school seniors (enrolled in a Flexo in Education Program) pursuing careers in flexography and graphic communications "
April 13,Meg Graham Scholarship,"$10,000",High school,https://washington.jl.org/home/community/students/,,"High school senior who:
Is a Washington, DC, resident
Attends a public, charter, private, or parochial high school in Washington, DC
Is matriculating to an accredited, four-year, post-secondary college or university in Fall 2026
Is in good academic standing, with a minimum 3.0 cumulative GPA on a 5.0 scale"
